Gagnant,Nom du gagnant,Liste nom,buyin,bigblind,smallblind,prediction,nbr de partie

2,agent_out,"{1: 'agent_saboteur', 2: 'agent_out', 3: 'agent_comportement', 4: 'agent_saboteur', 5: 'agent_naif', 6: 'agent_serre_agressif', 0: 'Humain'}",1000,50,25,"{0: 'Loose-Aggressive', 1: 'Loose-Aggressive', 2: 'Tight-Aggressive', 3: 'Loose-Aggressive', 4: 'Loose-Aggressive', 5: 'Loose-Aggressive', 6: 'Tight-Aggressive'}",69

1,random_agent,"{0: 'agent_serre_agressif', 1: 'random_agent', 2: 'agent_large_non_agressif', 3: 'agent_serre_non_agressif', 4: 'Humain', 5: 'agent_naif', 6: 'agent_saboteur', 7: 'agent_saboteur', 8: 'agent_saboteur', 9: 'agent_allIn'}",1000,200,100,"{0: 'Loose-Aggressive', 1: 'Tight-Aggressive', 2: 'Loose-Aggressive', 3: 'Loose-Passive', 4: 'Loose-Aggressive', 5: 'Loose-Aggressive', 6: 'Loose-Aggressive', 7: 'Loose-Aggressive', 8: 'Loose-Aggressive', 9: 'Loose-Passive'}",74

3,random_agent,"{0: 'agent_naif', 1: 'agent_saboteur', 2: 'Humain', 3: 'random_agent', 4: 'agent_saboteur'}",1000,200,100,"{0: 'Loose-Aggressive', 1: 'Loose-Aggressive', 2: 'Loose-Aggressive', 3: 'Tight-Passive', 4: 'Loose-Aggressive'}",19

0,Humain,"{1: 'agent_serre_agressif', 2: 'agent_serre_non_agressif', 3: 'agent_out', 4: 'agent_out', 5: 'agent_serre_non_agressif', 0: 'Humain'}",1000,200,100,"{0: 'Tight-Passive', 1: 'Loose-Aggressive', 2: 'Loose-Passive', 3: 'Loose-Passive', 4: 'Loose-Aggressive', 5: 'Tight-Passive'}",30

6,agent_out,"{1: 'agent_allIn', 2: 'agent_allIn', 3: 'random_agent', 4: 'agent_serre_agressif', 5: 'agent_allIn', 6: 'agent_out', 0: 'Humain'}",1000,200,100,"{0: 'Loose-Passive', 1: 'Loose-Aggressive', 2: 'Loose-Passive', 3: 'Loose-Passive', 4: 'Loose-Passive', 5: 'Tight-Passive', 6: 'Loose-Passive'}",7

1,random_agent,"{0: 'agent_allIn', 1: 'random_agent', 2: 'agent_comportement', 3: 'random_agent', 4: 'agent_comportement', 5: 'agent_out', 6: 'agent_out', 7: 'Humain', 8: 'random_agent', 9: 'random_agent'}",1000,200,100,"{0: 'Loose-Aggressive', 1: 'Tight-Passive', 2: 'Loose-Aggressive', 3: 'Loose-Aggressive', 4: 'Loose-Aggressive', 5: 'Loose-Passive', 6: 'Loose-Aggressive', 7: 'Loose-Aggressive', 8: 'Loose-Passive', 9: 'Loose-Passive'}",21

2,agent_out,"{1: 'random_agent', 2: 'agent_out', 3: 'agent_naif', 4: 'agent_serre_agressif', 5: 'agent_comportement', 0: 'Humain'}",1000,200,100,"{0: 'Loose-Aggressive', 1: 'Loose-Passive', 2: 'Loose-Passive', 3: 'Loose-Aggressive', 4: 'Loose-Aggressive', 5: 'Loose-Aggressive'}",14

3,agent_out,"{1: 'agent_allIn', 2: 'agent_naif', 3: 'agent_out', 4: 'agent_saboteur', 5: 'agent_serre_agressif', 6: 'agent_out', 7: 'agent_saboteur', 8: 'random_agent', 9: 'agent_saboteur', 0: 'Humain'}",1000,200,100,"{0: 'Loose-Aggressive', 1: 'Loose-Aggressive', 2: 'Loose-Passive', 3: 'Loose-Passive', 4: 'Loose-Aggressive', 5: 'Loose-Passive', 6: 'Tight-Passive', 7: 'Loose-Aggressive', 8: 'Loose-Aggressive', 9: 'Loose-Aggressive'}",28

0,Humain,"{1: 'agent_allIn', 2: 'agent_out', 3: 'agent_out', 4: 'agent_serre_agressif', 5: 'agent_naif', 6: 'agent_allIn', 7: 'agent_saboteur', 8: 'random_agent', 0: 'Humain'}",1000,200,100,"{0: 'Loose-Passive', 1: 'Loose-Aggressive', 2: 'Tight-Passive', 3: 'Loose-Aggressive', 4: 'Loose-Aggressive', 5: 'Loose-Passive', 6: 'Tight-Passive', 7: 'Tight-Passive', 8: 'Tight-Passive'}",28

